ID,order,mle,beta,gammaPlus,a0,m0,pBurst_1,pBurst_2,threshold
S3_774,4,47.733,0.216,3.635,136790.147,1000000.000,0.13679015,0.13679015,1902
S3_775,4,32.981,0.182,0.168,2501.364,781746.303,0.00319971,0.00319971,1903
S3_776,4,59.815,0.096,0.355,4689.946,964650.315,0.00486181,0.00486181,1904
S3_777,4,68.489,0.089,4.774,63033.939,1000000.000,0.06303394,0.06303394,1905
S3_778,4,55.49,0.051,5,39886.335,991501.430,0.04022822,0.04022822,1906
S3_779,4,43.844,0.164,0.683,8100.487,812377.677,0.00997133,0.00997133,1907
S3_780,4,39.376,0.159,2.074,5120.963,186101.138,0.02751710,0.02751710,1908
S3_781,4,56.36,0.266,4.107,537.704,4501.995,0.11943683,0.11943683,1909
S3_782,4,33.068,0.555,0.06,10.054,628.292,0.01600211,0.01600211,1910
S3_783,4,52.312,0.122,0.135,1967.514,747239.812,0.00263304,0.00263304,1911
S3_784,4,49.186,0.074,0.382,1353.483,445303.847,0.00303946,0.00303946,1912
S3_785,4,60.967,0.219,4.947,140820.120,999829.996,0.14084406,0.14084406,1913
S3_786,4,42.8,0.095,5,43717.706,838081.128,0.05216405,0.05216405,1914
S3_787,4,32.622,0.433,0.465,6643.863,637508.114,0.01042161,0.01042161,1915
S3_788,4,40.057,0.39,0.133,3605.348,787239.211,0.00457974,0.00457974,1916
S3_789,4,48.71,0.155,0.136,1404.460,668662.292,0.00210040,0.00210040,1917
S3_790,4,48.639,0.296,3.603,4581.757,45438.179,0.10083496,0.10083496,1918
S3_791,4,53.768,0.214,4.556,199105.632,1000000.000,0.19910563,0.19910563,1919
S4_10,4,44.519,0.014,0.182,55.991,95524.155,0.00058614,0.00058614,1920
S4_102,4,53.995,0.274,4.927,132899.287,999999.999,0.13289929,0.13289929,1921
S4_103,4,47.402,0.241,1.332,2518.070,91755.575,0.02744324,0.02744324,1922
S4_105,4,61.026,0.145,0.059,1538.123,905645.403,0.00169837,0.00169837,1923
S4_106,4,59.49,0.096,4.997,71497.610,999999.508,0.07149765,0.07149765,1924
S4_107,4,55.041,0.112,0.367,2573.434,627334.067,0.00410217,0.00410217,1925
S4_108,4,57.219,0.151,3.354,56510.401,772589.444,0.07314415,0.07314415,1926
S4_109,4,48.315,0.185,0.045,753.490,599094.074,0.00125772,0.00125772,1927
S4_11,4,46.862,0.062,4.821,44726.516,999951.615,0.04472868,0.04472868,1928
S4_110,4,55.369,0.133,2.106,882.281,24985.513,0.03531170,0.03531170,1929
S4_111,4,41.756,0.202,0.267,5681.144,926981.390,0.00612865,0.00612865,1930
S4_112,4,35.417,0.183,4.912,73111.409,1000000.000,0.07311141,0.07311141,1931
S4_113,4,55.827,0.185,5,136552.625,995041.884,0.13723304,0.13723304,1932
S4_114,4,53.175,0.146,4.999,129432.601,1000000.000,0.12943260,0.12943260,1933
S4_115,4,58.068,0.143,4.985,100927.313,999995.239,0.10092779,0.10092779,1934
S4_12,4,56.732,0.2,0.014,492.407,733272.385,0.00067152,0.00067152,1935
S4_13,4,35.637,0.25,5,102196.579,975542.732,0.10475869,0.10475869,1936
S4_14,4,53.481,0.071,0.3,3905.063,951270.389,0.00410510,0.00410510,1937
S4_15,4,42.973,0.11,4.168,46929.892,999999.999,0.04692989,0.04692989,1938
S4_16,4,58.662,0.088,4.054,339.422,5287.491,0.06419340,0.06419340,1939
S4_17,4,60.073,0.027,3.255,938.560,41581.450,0.02257160,0.02257160,1940
S4_18,4,44.487,0.093,5,85352.727,971794.439,0.08783002,0.08783002,1941
S4_19,4,35.867,0.7,0.002,318.801,866432.922,0.00036795,0.00036795,1942
S4_20,4,48.314,0.104,0.096,1913.713,964539.051,0.00198407,0.00198407,1943
S4_21,4,36.979,0.086,0.32,3651.940,713737.193,0.00511665,0.00511665,1944
S4_23,4,54.044,0.144,4.856,5617.042,73950.408,0.07595688,0.07595688,1945
S4_24,4,49.994,0.097,4.475,83987.328,1000000.000,0.08398733,0.08398733,1946
S4_25,4,43.697,0.391,4.81,3015.557,17666.619,0.17069237,0.17069237,1947
S4_26,4,39.792,0.212,4.999,109168.936,991806.597,0.11007079,0.11007079,1948
S4_27,4,45.641,0.372,3.73,373.650,3673.898,0.10170397,0.10170397,1949
S4_28,4,63.308,0.068,4.965,75367.882,998511.942,0.07548020,0.07548020,1950
