ID,experimentClass,trialNumber,completionDateTime,startDateTime,startDateNb,startSecsNb,nbPumps,isCollected,isExploded,lastTrialTime,order,trialOrder
S1_1002,BodyDeflate,18,17735.650400300925,17735.65029384259,17735,56185.388,24,1,0,1.22,2,38
S1_1002,BodyDeflate,19,17735.65044241898,17735.65041130787,17735,56195.537,19,0,1,NA,2,39
S1_1002,BodyDeflate,20,17735.650536099536,17735.650473310186,17735,56200.894,26,0,1,NA,2,40
S1_1002,BalloonDeflate,1,17735.650735046296,17735.650614108796,17735,56213.059,34,1,0,1.061,3,41
S1_1002,BalloonDeflate,2,17735.650785555554,17735.650744560186,17735,56224.33,18,0,1,NA,3,42
S1_1002,BalloonDeflate,3,17735.650891458332,17735.650811226853,17735,56230.09,26,1,0,0.999,3,43
S1_1002,BalloonDeflate,4,17735.65095625,17735.650900844907,17735,56237.833,20,1,0,1.317,3,44
S1_1002,BalloonDeflate,5,17735.651054699076,17735.65096775463,17735,56243.614,30,1,0,1.15,3,45
S1_1002,BalloonDeflate,6,17735.651167569446,17735.651071064814,17735,56252.54,36,1,0,1.661,3,46
S1_1002,BalloonDeflate,7,17735.651248148148,17735.65117699074,17735,56261.692,30,1,0,1.235,3,47
S1_1002,BalloonDeflate,8,17735.651264560187,17735.651259224538,17735,56268.797,4,0,1,NA,3,48
S1_1002,BalloonDeflate,9,17735.651393043983,17735.65129837963,17735,56272.18,38,1,0,1.401,3,49
S1_1002,BalloonDeflate,10,17735.65140837963,17735.651404444445,17735,56281.344,3,0,1,NA,3,50
S1_1002,BalloonDeflate,11,17735.651549675928,17735.651438831017,17735,56284.315,48,1,0,1.456,3,51
S1_1002,BalloonDeflate,12,17735.651594421295,17735.65156273148,17735,56295.02,8,1,0,1.098,3,52
S1_1002,BalloonDeflate,13,17735.651672002314,17735.651606400465,17735,56298.793,28,1,0,1.627,3,53
S1_1002,BalloonDeflate,14,17735.65176798611,17735.651690034723,17735,56306.019,30,1,0,1.653,3,54
S1_1002,BalloonDeflate,15,17735.651856724537,17735.651779814816,17735,56313.776,30,1,0,1.822,3,55
S1_1002,BalloonDeflate,16,17735.65191028935,17735.65187196759,17735,56321.738,20,0,1,NA,3,56
S1_1002,BalloonDeflate,17,17735.652031111113,17735.651948761573,17735,56328.373,32,1,0,1.57,3,57
S1_1002,BalloonDeflate,18,17735.652142766205,17735.652045891205,17735,56336.765,40,1,0,1.26,3,58
S1_1002,BalloonDeflate,19,17735.652237025464,17735.652157638888,17735,56346.42,30,1,0,1.132,3,59
S1_1002,BalloonDeflate,20,17735.65234890046,17735.652249340277,17735,56354.343,40,1,0,1.169,3,60
S1_1002,BalloonInflate,1,17735.65243261574,17735.652408634258,17735,56368.106,14,0,1,NA,4,61
S1_1002,BalloonInflate,2,17735.652511921297,17735.652464675924,17735,56372.948,27,0,1,NA,4,62
S1_1002,BalloonInflate,3,17735.652610891204,17735.652535474535,17735,56379.065,30,1,0,1.176,4,63
S1_1002,BalloonInflate,4,17735.652666585647,17735.652621006946,17735,56386.455,14,1,0,1.293,4,64
S1_1002,BalloonInflate,5,17735.65277372685,17735.652680949075,17735,56391.634,36,1,0,1.051,4,65
S1_1002,BalloonInflate,6,17735.652898356482,17735.652786747683,17735,56400.775,40,1,0,0.958,4,66
S1_1002,BalloonInflate,7,17735.65299125,17735.652911030094,17735,56411.513,33,1,0,0.917,4,67
S1_1002,BalloonInflate,8,17735.653092905093,17735.653002314815,17735,56419.4,35,1,0,0.839,4,68
S1_1002,BalloonInflate,9,17735.65311695602,17735.653105208334,17735,56428.29,6,0,1,NA,4,69
S1_1002,BalloonInflate,10,17735.653276400462,17735.65314363426,17735,56431.61,52,1,0,1.098,4,70
S1_1002,BalloonInflate,11,17735.65331111111,17735.65329383102,17735,56444.587,9,0,1,NA,4,71
S1_1002,BalloonInflate,12,17735.653393773147,17735.653335347222,17735,56448.174,26,0,1,NA,4,72
S1_1002,BalloonInflate,13,17735.653472314814,17735.65341986111,17735,56455.476,18,1,0,1.262,4,73
S1_1002,BalloonInflate,14,17735.65354837963,17735.65348371528,17735,56460.993,24,1,0,0.858,4,74
S1_1002,BalloonInflate,15,17735.65369460648,17735.653557337962,17735,56467.354,46,1,0,1.136,4,75
S1_1002,BalloonInflate,16,17735.65377068287,17735.653706782407,17735,56480.266,29,0,1,NA,4,76
S1_1002,BalloonInflate,17,17735.653810532407,17735.653794305555,17735,56487.828,8,0,1,NA,4,77
S1_1002,BalloonInflate,18,17735.653874421296,17735.65383625,17735,56491.452,12,1,0,0.978,4,78
S1_1002,BalloonInflate,19,17735.653887592594,17735.65388314815,17735,56495.504,3,0,1,NA,4,79
S1_1002,BalloonInflate,20,17735.654046840278,17735.653916423613,17735,56498.379,40,1,0,0.927,4,80
S1_1004,BodyDeflate,1,17735.648974537038,17735.64852576389,17735,56032.626,20,1,0,5.389,1,1
S1_1004,BodyDeflate,2,17735.64924537037,17735.649019652777,17735,56075.298,50,1,0,5.116,1,2
S1_1004,BodyDeflate,3,17735.649363564815,17735.64927175926,17735,56097.08,10,1,0,4.978,1,3
S1_1004,BodyDeflate,4,17735.649496944443,17735.649396527777,17735,56107.86,18,1,0,2.729,1,4
S1_1004,BodyDeflate,5,17735.649577800927,17735.649526400462,17735,56119.081,13,1,0,1.939,1,5
S1_1004,BodyDeflate,6,17735.649654027777,17735.649609305554,17735,56126.244,13,1,0,1.867,1,6
S1_1004,BodyDeflate,7,17735.64980553241,17735.64966929398,17735,56131.427,46,1,0,1.965,1,7
S1_1004,BodyDeflate,8,17735.64983337963,17735.64982519676,17735,56144.897,5,0,1,NA,1,8
S1_1004,BodyDeflate,9,17735.650106469908,17735.649932060187,17735,56154.13,26,1,0,1.273,1,9
S1_1004,BodyDeflate,10,17735.65022693287,17735.65013744213,17735,56171.875,31,1,0,1.486,1,10
S1_1004,BodyDeflate,11,17735.65035045139,17735.65026716435,17735,56183.083,26,1,0,1.788,1,11
S1_1004,BodyDeflate,12,17735.65038570602,17735.650373784723,17735,56192.295,7,0,1,NA,1,12
S1_1004,BodyDeflate,13,17735.650582523147,17735.650470844907,17735,56200.681,34,0,1,NA,1,13
S1_1004,BodyDeflate,14,17735.65066084491,17735.65062693287,17735,56214.167,10,1,0,1.165,1,14
S1_1004,BodyDeflate,15,17735.65068133102,17735.650679363425,17735,56218.697,2,0,1,NA,1,15
S1_1004,BodyDeflate,16,17735.650775023147,17735.650739421297,17735,56223.886,4,1,0,1.44,1,16
