ID,order,TotalMLE,mle,pBurst_1,pBurst_2,pExpl_1,pExpl_2,threshold,sdAvgLastTime_1,sdAvgLastTime_2,avgLastTime_1,avgLastTime_2,avgPumps_1,avgPumps_2,sdPumps_1,sdPumps_2,nbCollected_1,nbCollected_2,gammaPlus,beta
S5_7,3,233.7944,59.6156,0.029197,0.012346,0.068182,0.05,15,0.417,NA,0.9075,0.855,23.666667,5,12.613296,10,12,1,1,0.17
S5_7,4,233.7944,58.8188,0.03,0.019608,0.066667,0.086957,17,0.158304,NA,0.893333,0.77,18.411765,9,12.480279,15.588457,12,1,1,0.17
S5_70,1,259.1714,68.9934,0.020312,0.011364,0.048193,0.057143,17,0.304252,NA,1.393923,3.924,32,17.333333,18.794946,30.022214,13,1,1,0.17
S5_70,2,259.1714,62.0328,0.016035,0.009434,0.031746,0.033898,17,0.141273,NA,1.017455,1.428,28.588235,15.333333,21.903364,26.558112,11,1,1,0.17
S5_70,3,259.1714,59.7979,0.012048,0.025,0.035714,0.153846,11,0.057591,0.233865,0.9892,1.029286,22,28.888889,25.361388,16.855596,5,7,1,0.17
S5_70,4,259.1714,68.3473,0.019787,0.030303,0.088235,0,19,0.183363,NA,1.026769,0.917,30.315789,32,21.364697,NA,13,1,1,0.17
S5_71,1,249.8046,67.4243,0.04902,0.02331,0.111111,0.059701,6,2.058638,0.373027,2.8506,1.3246,14.666667,25.142857,9.092121,19.001446,5,10,1,0.17
S5_71,2,249.8046,64.1085,0.022263,0.003745,0.051948,0.016129,16,0.388706,NA,1.257083,1.213,28.125,20,21.020228,40,12,1,1,0.17
S5_71,3,249.8046,61.7774,0.012077,0.018868,0.026455,0.068182,10,0.227827,0.406576,1.236,1.188286,22,32,24.404007,24.147694,5,7,1,0.17
S5_71,4,249.8046,56.4944,0.017212,0.006993,0.039735,0.02459,16,0.209942,NA,1.0853,1.703,26.25,5,22.245599,10,10,1,1,0.17
S5_72,1,255.5188,64.8796,0.040956,0.019481,0.078431,0.052632,16,0.268193,0.190027,1.127083,1.291667,14.375,33,8.950791,22.241103,12,3,1,0.17
S5_72,2,255.5188,63.2708,0.016949,0.036232,0.065574,0.038462,8,0.08788,0.247932,1.08525,0.9678,21.375,17.833333,23.132769,9.173413,4,10,1,0.17
S5_72,3,255.5188,54.4934,0.027972,0.015217,0.035714,0.040609,5,0.112263,0.379401,0.84225,1.022429,22.2,17.066667,14.359666,19.35926,4,7,1,0.17
S5_72,4,255.5188,72.875,0.022901,0.062016,0.071429,1,11,0.147015,0.176676,0.963333,0.9485,32.363636,13.333333,20.155757,7.071068,9,8,1,0.17
S5_73,1,273.824,72.2822,0.017316,0.034783,0.0375,0.333333,7,0.275984,0.128409,0.88625,0.825917,21,25.384615,20.371549,9.979466,4,12,1,0.17
S5_73,2,273.824,66.0192,0.03423,0.017857,0.105263,0.034483,18,0.64056,NA,1.364214,0.918,19.833333,13,11.268123,18.384776,14,1,1,0.17
