ID,order,TotalMLE,mle,pBurst_1,pExpl_1,sdAvgLastTime_1,avgLastTime_1
S2_323,1,86.2195,41.4025,0.061111,0.075472,1.657894,2.026364
S2_323,2,86.2195,44.817,0.018519,0.032051,0.657818,1.760111
S2_324,1,75.8672,39.2358,0.01995,0.04717,0.662433,1.676875
S2_324,2,75.8672,36.6314,0.014403,0.032407,1.086966,1.985
S2_325,1,116.9061,53.8051,0.030227,0.042017,0.379469,1.562917
S2_325,2,116.9061,63.101,0.039683,0.076923,0.309058,1.3494
S2_400,1,85.0553,42.4628,0.122807,0.125,2.786878,2.554786
S2_400,2,85.0553,42.5925,0.147059,0.166667,0.22897,1.3308
S2_401,1,114.1042,50.826,0.016722,0.0369,0.958483,1.8356
S2_401,2,114.1042,63.2782,0.013841,0.043243,0.489964,1.517
S2_402,1,101.2544,39.5347,0.009537,0.024,0.647894,2.463429
S2_402,2,101.2544,61.7197,0.023297,0.04,1.041278,2.319385
S2_403,1,128.1254,60.4813,0.017442,0.038835,0.974558,2.026417
S2_403,2,128.1254,67.6441,0.02144,0.049587,0.447927,1.585143
S2_404,1,111.4931,66.9161,0.015682,0.026596,1.90885,2.243923
S2_404,2,111.4931,44.577,0.010283,0.025157,1.325368,1.887125
S2_405,1,124.4805,66.2513,0.016497,0.027559,0.566239,1.780846
S2_405,2,124.4805,58.2292,0.013564,0.033835,0.363475,1.544545
S2_406,1,121.3558,59.574,0.037838,0.046512,1.857469,2.710714
S2_406,2,121.3558,61.7818,0.032407,0.05,0.7272,2.161071
S2_407,1,92.5492,37.9017,0.012027,0.034483,1.042203,1.822
S2_407,2,92.5492,54.6475,0.011442,0.030488,1.527124,2.2889
S2_408,1,111.6583,78.909,0.019417,0.028302,0.405573,1.596688
S2_408,2,111.6583,32.7493,0.011516,0.026217,0.424733,1.646333
S2_409,1,108.8796,48.4774,0.168224,0.117647,0.841004,1.672667
S2_409,2,108.8796,60.4022,0.047319,0.056338,0.463247,1.495267
S2_410,1,110.3881,55.7249,0.017002,0.030769,0.467203,1.303364
S2_410,2,110.3881,54.6632,0.039755,0.057143,0.604872,1.256923
S2_411,1,111.0542,51.3451,0.009009,0.018182,1.426972,2.263556
S2_411,2,111.0542,59.7091,0.011866,0.031915,0.510805,1.505182
S2_412,1,121.4966,53.2531,0.111842,0.142857,0.201575,1.173765
S2_412,2,121.4966,68.2435,0.037471,0.095238,0.21228,1.075687
S2_413,1,111.4296,50.4654,0.017331,0.049751,1.14502,1.7
S2_413,2,111.4296,60.9642,0.01676,0.031128,0.447056,1.313833
S2_414,1,4000,2000,0,0.017036,0.185701,1.38875
S2_414,2,4000,2000,0,0.0161,0.496003,1.388778
S2_415,1,31.8194,26.2922,0.014045,0.029787,2.830888,4.4616
S2_415,2,31.8194,5.5272,0.010753,0.019608,NA,4.349
S2_416,1,131.9945,63.9656,0.019637,0.031579,0.454392,1.591
S2_416,2,131.9945,68.0289,0.020864,0.038462,0.193462,1.258143
S2_417,1,128.9352,67.6224,0.021472,0.035714,0.845451,1.427929
S2_417,2,128.9352,61.3128,0.033493,0.048077,0.601603,1.336357
S2_418,1,117.4786,59.2085,0.012415,0.025641,0.447401,1.495182
S2_418,2,117.4786,58.2701,0.013514,0.023936,0.319028,1.260182
S2_419,1,108.5224,57.0329,0.01511,0.02974,0.614466,2.087727
S2_419,2,108.5224,51.4895,0.024887,0.049689,1.70795,2.464364
S2_420,1,107.0108,42.4584,0.024,0.061404,0.532275,1.856667
S2_420,2,107.0108,64.5524,0.026667,0.136364,0.276777,1.354357
S2_421,1,89.7345,36.7179,0.014228,0.039801,0.921329,2.177143
S2_421,2,89.7345,53.0166,0.021696,0.073529,0.635055,1.637364
S2_422,1,73.8144,22.9884,0.008639,0.017668,1.572804,4.51425
S2_422,2,73.8144,50.826,0.016722,0.039062,0.867495,2.6612
S2_423,1,133.8483,58.7805,0.04,0.053763,0.243926,1.218786
S2_423,2,133.8483,75.0678,0.032319,0.085714,0.339189,1.243588
S2_424,1,125.0227,61.913,0.03211,0.065217,0.745072,1.610286
